"ad1","ad2","ad3","Block"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","1","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","1","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"1","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","1","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
"0","0","0","NE"
